Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('10th Street', 'Avenue M')",-122.3682431,37.8271614,3,3,1,1,0,0,1,1,0,3,0,3,None,None,181.8237937,92.06122847,0.008043149,1.01E-06,-1,-1,no,0,0,None,"{'residential': 1, 'unclassified': 1, 'cycleway': 4}","{'residential': 1, 'unclassified': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('10th Street', 'Avenue N')",-122.3666319,37.8278921,3,3,1,1,0,0,1,1,0,3,0,3,None,None,203.3558136,112.4955915,1.958612167,0,-1,-1,no,0,0,None,"{'residential': 1, 'unclassified': 1, 'cycleway': 4}","{'residential': 1, 'unclassified': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('10th Street', 'Bryant Street')",-122.4097666,37.7703371,2,3,5,4,0,0,5,2,0,2,0,2,None,None,49.55541499,91.02063217,0.261999095,0,77.2854464,-1,no,0,0,None,"{'secondary': 1, 'primary': 1, 'cycleway': 2}","{'motorway_link': 1, 'primary': 2, 'cycleway': 2}",30,25,25,25,0,0,2,0,0,3
"('10th Street', 'Market Street')",-122.4174485,37.7765067,2,3,1,1,1,1,1,1,0,0,0,2,None,None,31.65180012,90.5451673,0.050190026,0,38.01083528,105.1040397,no,0,0,None,"{'secondary': 1, 'track': 1}","{'secondary': 1, 'primary': 1, 'cycleway': 2, 'track': 1}",25,25,30,25,2,0,0,2,0,1
"('11th Avenue', 'Anza Street')",-122.4695124,37.7788608,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4823344,90.03130381,2.29E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'Balboa Street')",-122.4693775,37.7769911,4,4,2,1,0,0,2,1,0,4,0,4,None,None,160.8203825,90.02197629,3.47E-05,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'Cabrillo Street')",-122.469243,37.7751274,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4829046,90.0352565,1.11E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'California Street')",-122.4699247,37.7845762,4,4,2,1,0,0,2,1,0,4,0,4,None,None,160.8733215,90.03309794,6.89E-05,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'Clement Street')",-122.46979,37.7827083,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4817096,90.0297227,0.00011424,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'Fulton Street')",-122.4691082,37.7732585,3,3,2,1,0,0,2,1,0,3,0,3,None,None,22.11649957,90.04095996,0,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 3}","{'secondary': 1, 'residential': 1, 'cycleway': 3}",35,25,35,25,0,3,0,0,3,0
"('11th Avenue', 'Irving Street')",-122.4684732,37.7639549,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4647808,90.05489942,2.47E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'Judah Street')",-122.4683435,37.76208895,4,4,1,1,3,2,1,1,0,4,0,4,None,None,26.09757785,90.06097595,0.000977431,0,-1,0.709581224,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 3}","{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 2}",25,25,25,25,2,2,0,2,2,0
"('11th Avenue', 'Kirkham Street')",-122.4682138,37.7602235,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4663726,90.05910751,9.53E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'Lake Street')",-122.470059,37.7864373,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4786302,90.01021531,2.84E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'Lawton Street')",-122.4680841,37.7583569,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4659435,90.05819366,6.75E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'Lincoln Way')",-122.468604,37.76583645,3,4,3,1,0,0,3,1,0,3,0,4,None,None,160.8537869,90.05325955,0.000150151,0,-1,-1,no,0,0,None,"{'primary': 1, 'residential': 1, 'cycleway': 4}","{'primary': 1, 'residential': 1, 'cycleway': 4}",35,25,35,25,2,1,0,2,2,0
"('11th Avenue', 'Moraga Street')",-122.4679545,37.7564925,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4632902,90.04121551,3.52E-06,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Avenue', 'Noriega Street')",-122.4678139,37.7546281,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.966944,129.883551,1.171476963,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,1,3,0
"('11th Avenue', 'Ortega Street')",-122.4676635,37.7527637,5,5,1,1,0,0,1,1,0,5,0,5,None,None,160.4937949,160.0766925,1.377243152,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 7}","{'residential': 2, 'cycleway': 7}",25,25,25,25,1,4,0,1,4,0
"('11th Avenue', 'Pacheco Street')",-122.4676348,37.7516387,3,3,1,1,0,0,1,1,0,3,0,3,None,None,174.0264194,111.301498,0.931136519,0.21886875,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('11th Street', '13th Street', 'Bryant Street', 'Division Street')",-122.4109327,37.769472,7,6,2,1,0,0,4,1,0,4,0,4,None,None,116.6652237,179.8688311,1.780329427,0,-1,-1,no,0,0,None,"{'secondary': 2, 'residential': 1, 'secondary_link': 1, 'tertiary': 2, 'motorway_link': 1, 'cycleway': 5}","{'secondary': 3, 'residential': 1, 'tertiary': 2, 'cycleway': 5}",25,25,25,25,2,3,2,2,3,1
"('11th Street', 'Avenue D')",-122.3737652,37.8257642,3,3,1,1,0,0,1,1,0,3,0,3,None,None,141.8297627,90.29665799,0.002143692,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('11th Street', 'Avenue I')",-122.3699636,37.8273732,4,4,1,1,0,0,1,1,0,4,0,4,None,None,182.6233442,90.2443174,0.00300714,0.000165019,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('11th Street', 'Avenue M')",-122.3687837,37.827966,4,4,1,1,0,0,1,1,0,4,0,4,None,None,181.6298224,90.28274504,0.000769101,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('11th Street', 'Avenue N')",-122.3676374,37.8285367,3,3,1,1,0,0,1,1,0,3,0,3,None,None,183.1186636,90.84232385,0.335387924,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('11th Street', 'Market Street')",-122.4186749,37.7755496,3,3,1,1,2,2,1,1,0,2,0,2,None,None,55.99056938,91.91128706,0.194310924,0,57.49661928,25.2250772,no,0,0,None,"{'secondary': 1, 'tertiary': 1, 'cycleway': 2, 'track': 3}","{'primary': 1, 'secondary': 1, 'tertiary': 1, 'cycleway': 2, 'track': 2}",25,25,25,25,2,1,0,2,1,0
"('12th Avenue', '9th Avenue')",-122.4683702,37.74708,3,3,1,1,0,0,1,1,0,3,0,3,None,None,16.91612386,114.2759976,5.397347509,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('12th Avenue', 'Anza Street')",-122.4705849,37.778812,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4829909,90.0457609,3.40E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Balboa Street')",-122.4704505,37.7769424,4,4,2,1,0,0,2,1,0,4,0,4,None,None,160.4743177,90.03576044,1.34E-05,0,-1,-1,no,0,0,None,"{'residential': 1, 'secondary': 1, 'cycleway': 5}","{'residential': 1, 'secondary': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Cabrillo Street')",-122.4703166,37.7750785,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4824123,90.04834822,1.83E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Clement Street')",-122.4708615,37.7826596,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4741104,90.04116819,0.000414379,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Cragmont Avenue', 'Rockridge Drive')",-122.4686316,37.7508352,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.1827374,108.1491177,0.656872865,0.031664582,-1,-1,no,0,0,None,"{'residential': 3, 'cycleway': 5}","{'residential': 3, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Fulton Street')",-122.4701823,37.7732107,3,3,2,1,0,0,2,1,0,3,0,3,None,None,160.8620565,90.0331905,1.49E-05,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 4}","{'secondary': 1, 'residential': 1, 'cycleway': 4}",35,25,35,25,0,3,0,0,3,0
"('12th Avenue', 'Funston Avenue')",-122.4690369,37.7509076,3,3,1,1,0,0,1,1,0,3,0,3,None,None,78.92124134,133.7775873,0.739810184,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,3,0,0,3,0
"('12th Avenue', 'Irving Street')",-122.4695458,37.7639075,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4654675,90.03858946,2.66E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Judah Street')",-122.4694155,37.76204175,4,4,1,1,2,4,1,1,0,4,0,4,None,no,32.65723073,90.04847863,0.002270672,0.000103606,-1,0.642658971,no,4,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 2}","{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 4}",25,25,25,25,2,2,0,2,2,0
"('12th Avenue', 'Kirkham Street')",-122.4692852,37.7601763,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4637209,90.04434732,9.72E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Lake Street')",-122.4711296,37.7863889,3,4,1,1,0,0,1,1,0,3,0,4,None,None,16.40831725,179.2296526,3.612890676,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,1
"('12th Avenue', 'Lawton Street')",-122.4691548,37.7583097,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4640674,90.03836923,4.60E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Lincoln Way')",-122.4696773,37.76578905,3,4,3,1,0,0,3,1,0,3,0,4,None,None,161.3687676,90.04350816,5.21E-05,0,-1,-1,no,0,0,None,"{'residential': 1, 'primary': 1, 'cycleway': 4}","{'residential': 1, 'primary': 1, 'cycleway': 5}",35,25,35,25,2,1,0,2,2,0
"('12th Avenue', 'Magellan Avenue')",-122.4681611,37.744127,3,3,1,1,0,0,1,1,0,3,0,3,None,None,160.4313746,92.49711578,0.000165788,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('12th Avenue', 'Moraga Street')",-122.4690246,37.7564454,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4634295,90.02865926,1.31E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Noriega Street')",-122.4689545,37.7552316,3,3,1,1,0,0,1,1,0,3,0,3,None,None,92.21128927,110.9041026,0.625391309,0.133824329,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 4}",25,25,25,25,2,1,0,1,2,0
"('12th Avenue', 'Pacheco Street')",-122.4687333,37.752212,3,3,1,1,0,0,1,1,0,3,0,3,None,None,17.08223763,116.7279765,1.103271667,0.021629984,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('12th Avenue', 'Quintara Street')",-122.4684993,37.7489418,4,4,1,1,0,0,1,1,0,4,0,4,None,None,161.6306899,113.8692972,1.075841473,0,-1,-1,no,0,0,None,"{'residential': 1, 'tertiary': 1, 'cycleway': 5}","{'residential': 1, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('12th Avenue', 'Taraval Street')",-122.4681124,37.7433923,3,3,1,1,0,0,1,1,0,3,0,3,None,no,55.39929919,92.991349,0.026067949,0.000165688,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('12th Street', 'Avenue D')",-122.3741423,37.8263272,2,2,1,1,0,0,1,1,0,2,0,2,None,None,16.48633172,90.61164797,0.0038152,0.003256338,33.75209735,-1,no,0,0,None,"{'residential': 2, 'cycleway': 2}","{'residential': 2, 'cycleway': 2}",25,25,25,25,0,2,0,0,2,0
"('12th Street', 'Bernice Street')",-122.4137506,37.7703511,4,3,1,1,0,0,1,1,0,4,0,3,None,None,140.000746,143.2023059,1.535723256,2.87E-05,-1,-1,no,0,0,None,"{'residential': 2, 'secondary_link': 1, 'cycleway': 5}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,1,0,3,0
"('12th Street', 'Flounder Court')",-122.3744797,37.8261819,3,3,1,1,0,0,1,1,0,3,0,3,None,None,67.88326378,91.88473828,0.28036361,0.000135677,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('12th Street', 'Sturgeon Street')",-122.3751568,37.8258938,3,3,1,1,0,0,1,1,0,3,0,3,None,None,182.5236857,112.6075068,0.433987273,0.000443855,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('13th Street', 'Avenue E')",-122.3738848,37.827561,2,2,1,1,0,0,1,1,0,2,0,2,None,None,16.41723388,89.8919186,0,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 2}","{'residential': 2, 'cycleway': 2}",25,25,25,25,0,2,0,0,2,0
"('13th Street', 'Avenue H', 'Gateview Avenue')",-122.3720387,37.8283487,4,4,1,1,0,0,1,1,0,4,0,4,None,None,190.337352,96.20170962,0.040741003,2.45E-05,-1,-1,no,0,0,None,"{'tertiary': 2, 'residential': 1, 'cycleway': 6}","{'tertiary': 2, 'residential': 1, 'cycleway': 6}",25,15,25,15,0,4,0,0,4,0
"('13th Street', 'Avenue I')",-122.370947,37.8288081,4,4,1,1,0,0,1,1,0,4,0,4,None,None,182.3618381,91.91864521,0.366224821,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('13th Street', 'Avenue M')",-122.3697011,37.8293375,4,4,1,1,0,0,1,1,0,4,0,4,None,None,182.3385915,90.43151468,0.00173761,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('13th Street', 'Avenue N')",-122.3685204,37.8298389,2,2,1,1,0,0,1,1,0,2,0,2,None,None,16.48322169,90.68789364,0.001087819,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 2}","{'residential': 2, 'cycleway': 2}",25,25,25,25,0,2,0,0,2,0
"('13th Street', 'Bryant Street', 'Division Street')",-122.4108971,37.76938865,6,5,2,1,0,0,4,1,0,3,0,3,None,None,127.0927657,179.6374406,1.780329427,0.020302345,-1,-1,no,0,0,None,"{'secondary': 2, 'residential': 1, 'secondary_link': 1, 'motorway_link': 1, 'tertiary': 1, 'cycleway': 3}","{'secondary': 3, 'residential': 1, 'tertiary': 1, 'cycleway': 3}",25,25,25,25,2,2,2,2,2,1
"('13th Street', 'Exposition Drive')",-122.3713221,37.8286442,3,3,1,1,0,0,1,1,0,3,0,3,None,None,181.3749743,90.44257086,0.015815542,0.001515675,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('13th Street', 'Halyburton Court')",-122.3759876,37.8277169,2,2,1,1,0,0,1,1,0,2,0,2,None,None,85.57942403,41.83739605,1.743018581,0.011871114,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 2}","{'residential': 2, 'cycleway': 2}",25,25,25,25,0,2,0,0,2,0
"('13th Street', 'Hutchins Court')",-122.3764886,37.8278368,3,3,1,1,0,0,1,1,0,3,0,3,None,None,92.23344036,133.6619313,1.346167988,0.000198533,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('13th Street', 'Keppler Court')",-122.3767314,37.8278932,3,3,1,1,0,0,1,1,0,3,0,3,None,None,93.59552738,90.18171901,0.018267567,0.000872685,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('13th Street', 'Trainor Street')",-122.4145111,37.7694751,3,3,1,1,0,0,1,1,0,2,0,3,None,None,165.4596931,155.1545173,0.106392121,0,-1,-1,no,0,0,None,"{'residential': 1, 'secondary': 1, 'cycleway': 2}","{'residential': 1, 'secondary': 1, 'secondary_link': 1, 'cycleway': 4}",25,25,25,25,1,1,1,1,1,1
"('14th Avenue', '15th Avenue')",-122.4720445,37.7574148,3,3,1,1,0,0,1,1,0,3,0,3,None,None,35.05483903,101.706204,2.334327971,0.32306302,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,2,1,0,2,1,0
"('14th Avenue', 'Fanning Way')",-122.4710351,37.749776,3,2,1,1,0,0,1,1,0,3,0,2,None,None,158.2421456,136.5833759,0.379716369,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,1,1,1,1,1,0
"('14th Avenue', 'Irving Street')",-122.4716825,37.7638132,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4860038,90.11993955,6.72E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('14th Avenue', 'Judah Street')",-122.4715465,37.76194815,4,4,1,1,2,2,1,1,0,4,0,4,None,None,25.92264316,90.27271557,0.004625525,0,-1,0.686722195,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 2}","{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 2}",25,25,25,25,2,2,0,2,2,0
